,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,desired_f_1,desired_f_2
781,39.050000000000004,-0.16057515144348145,-0.06987500190734863,1.9878499507904053,-0.2673153877258301,-1.6665728092193604,-0.3651611804962158,0.6133115887641907,0.05927205830812454,0.4349164366722107,-3.0323260586575898,0.06059794001572943,1.782564226480601,146.4815184815185,94.03896103896103,128.0,128.0
782,39.1,-0.16064190864562988,-0.06960225105285645,1.9878208637237549,-0.2674891948699951,-1.6665809154510498,-0.3654515743255615,0.6134262681007385,0.05921047180891037,0.43478918075561523,-3.032240337656378,0.06054817809206831,1.7827913300194005,146.45418326693226,94.07669322709164,128.0,128.0
783,39.150000000000006,-0.16070771217346191,-0.06933045387268066,1.987790822982788,-0.26766157150268555,-1.6665880680084229,-0.3657407760620117,0.6135408282279968,0.05914948880672455,0.43466323614120483,-3.032155025395611,0.06049798284433066,1.7830181851168019,146.41071428571428,94.11607142857143,128.0,128.0
784,39.2,-0.16077089309692383,-0.0690605640411377,1.9877617359161377,-0.26783299446105957,-1.6665937900543213,-0.36602783203125,0.6136542558670044,0.05909029394388199,0.43453848361968994,-3.0320713985994274,0.060446549330449434,1.7832457092315654,146.38180019782394,94.19386745796241,128.0,128.0
785,39.25,-0.16083383560180664,-0.06879472732543945,1.9877331256866455,-0.26799869537353516,-1.6666004657745361,-0.36630845069885254,0.6137657761573792,0.05903169512748718,0.4344145357608795,-3.0319851475321906,0.06039583101224129,1.7834669407266348,146.3640873015873,94.22619047619048,128.0,128.0
786,39.300000000000004,-0.16089677810668945,-0.06852912902832031,1.9877040386199951,-0.26816320419311523,-1.666607141494751,-0.3665893077850342,0.6138770580291748,0.05897313356399536,0.4342908561229706,-3.0318990458681876,0.060345107454157575,1.783687889463054,146.32606541129832,94.24975222993062,128.0,128.0
787,39.35,-0.16095757484436035,-0.06826376914978027,1.987675428390503,-0.2683298587799072,-1.666611909866333,-0.3668704032897949,0.6139883995056152,0.058916009962558746,0.43416762351989746,-3.0318146336158187,0.06029272367638716,1.783911694529052,146.30624380574827,94.2794846382557,128.0,128.0
788,39.400000000000006,-0.16101813316345215,-0.06799864768981934,1.9876463413238525,-0.2684955596923828,-1.6666157245635986,-0.36715149879455566,0.6140997409820557,0.05885902792215347,0.43404433131217957,-3.0317307684608714,0.06024037348188428,1.7841353346348137,146.29871414441146,94.30662710187933,128.0,128.0
789,39.45,-0.16107940673828125,-0.06773257255554199,1.9876172542572021,-0.2686619758605957,-1.6666204929351807,-0.3674337863922119,0.61421138048172,0.05880157649517059,0.4339204430580139,-3.031646329435356,0.06018758735166981,1.7843595682420443,146.29277942631057,94.33234421364985,128.0,128.0
790,39.5,-0.16114187240600586,-0.06746530532836914,1.9875881671905518,-0.268829345703125,-1.666625738143921,-0.36771726608276367,0.6143232583999634,0.058743130415678024,0.4337961673736572,-3.0315613677692537,0.06013569492225674,1.784583837973127,146.27893175074183,94.35113748763601,128.0,128.0
791,39.550000000000004,-0.16120433807373047,-0.06719684600830078,1.9875586032867432,-0.2689988613128662,-1.6666309833526611,-0.36800217628479004,0.6144360303878784,0.05868464708328247,0.4336715042591095,-3.031477115223418,0.06008328572623882,1.7848098276365705,146.27893175074183,94.35113748763601,128.0,128.0
