,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6
134,6.7,-0.00877523422241211,0.09819579124450684,1.528817892074585,0.029702425003051758,-1.6769664287567139,-0.04590296745300293,0.7322919964790344,0.15149357914924622,0.5952001214027405,-3.049971956694342,0.10182302180357318,1.61721331485489,179.2398190045249,163.92760180995475,156.65271966527197,138.9142259414226,130.58091286307055,163.0124481327801,149.5,167.5,126.5,143.5,100.5,167.5
135,6.75,-0.008916854858398438,0.09870219230651855,1.5284011363983154,0.03004622459411621,-1.6774332523345947,-0.046021461486816406,0.7325708866119385,0.1513395756483078,0.59508216381073,-3.0494981055969395,0.10225245393958891,1.6172776140388274,179.05203619909503,163.9004524886878,156.53781512605042,138.91176470588235,130.4125,163.04583333333332,149.5,167.5,126.5,143.5,100.5,167.5
136,6.800000000000001,-0.009093046188354492,0.09917140007019043,1.5279791355133057,0.03040599822998047,-1.6778619289398193,-0.04617476463317871,0.7328363060951233,0.15116353332996368,0.5949922800064087,-3.0490500549223944,0.10264193744500455,1.6173362829841307,178.92986425339367,163.92760180995475,156.4560669456067,138.92887029288704,130.27291666666667,163.07708333333332,149.5,167.5,126.5,143.5,100.5,167.5
137,6.8500000000000005,-0.009286165237426758,0.09961986541748047,1.5275428295135498,0.030787229537963867,-1.6782705783843994,-0.04632925987243652,0.7330937385559082,0.15097717940807343,0.594925045967102,-3.0486169438668598,0.1030119279851102,1.6173756379368318,178.77878103837472,163.91873589164786,156.31302521008402,139.02100840336135,130.17708333333334,163.12291666666667,149.5,167.5,126.5,143.5,100.5,167.5
138,6.9,-0.00947117805480957,0.10004544258117676,1.5271837711334229,0.031094789505004883,-1.6786859035491943,-0.04647541046142578,0.7333368062973022,0.15079635381698608,0.594830334186554,-3.048203388651739,0.10339084469436814,1.617414596734962,178.63945578231292,163.93424036281178,156.12889812889813,138.987525987526,130.06404958677686,163.0888429752066,149.5,167.5,126.5,143.5,100.5,167.5
139,6.95,-0.00963902473449707,0.10052347183227539,1.5268042087554932,0.03140997886657715,-1.6791179180145264,-0.046628713607788086,0.7336041331291199,0.15062616765499115,0.5947092175483704,-3.04774701569662,0.10378269908862145,1.6174840211407662,178.50113378684807,163.94784580498867,155.9874739039666,138.97286012526095,129.91322314049586,163.03925619834712,149.5,167.5,126.5,143.5,100.5,167.5
140,7.0,-0.009794473648071289,0.1010124683380127,1.5264251232147217,0.0317232608795166,-1.6795580387115479,-0.04674530029296875,0.7338749170303345,0.15046456456184387,0.5945806503295898,-3.047285545624796,0.10418561924520765,1.6175307625410351,178.38181818181818,163.95909090909092,155.87265135699374,138.93945720250522,129.80618556701032,163.04742268041238,149.5,167.5,126.5,143.5,100.5,167.5
141,7.050000000000001,-0.009961366653442383,0.10152220726013184,1.526005506515503,0.03207278251647949,-1.6799852848052979,-0.04689645767211914,0.7341583371162415,0.15029510855674744,0.5944597721099854,-3.046802914503904,0.10457141856088402,1.6176016035839906,178.26636568848758,163.9232505643341,155.67714884696016,138.9056603773585,129.67427385892117,163.0207468879668,149.5,167.5,126.5,143.5,100.5,167.5
142,7.1000000000000005,-0.010102272033691406,0.10205960273742676,1.5255863666534424,0.03241300582885742,-1.680436372756958,-0.04704761505126953,0.7344525456428528,0.15014216303825378,0.594319760799408,-3.04630096695867,0.10497971081964884,1.6177031827925932,178.06575963718822,163.92290249433105,155.58909853249475,138.958071278826,129.44375,163.07083333333333,149.5,167.5,126.5,143.5,100.5,167.5
143,7.15,-0.01028132438659668,0.10251283645629883,1.5251867771148682,0.032755374908447266,-1.6808421611785889,-0.04718446731567383,0.7347087860107422,0.14996621012687683,0.5942272543907166,-3.045865288603712,0.10534751733020505,1.6177415549052465,177.99544419134395,163.90205011389523,155.4560669456067,138.92887029288704,129.31732776617955,163.11273486430062,149.5,167.5,126.5,143.5,100.5,167.5
144,7.2,-0.010457992553710938,0.10297131538391113,1.524749994277954,0.03313255310058594,-1.681248426437378,-0.04735589027404785,0.7349686622619629,0.1497914344072342,0.5941530466079712,-3.045423379230318,0.1057117561743153,1.6178176503805926,177.84841628959276,163.93665158371041,155.37735849056602,138.97903563941298,129.22594142259413,163.13807531380752,149.5,167.5,126.5,143.5,100.5,167.5
145,7.25,-0.010650873184204102,0.10341715812683105,1.524334192276001,0.033493995666503906,-1.6816365718841553,-0.047528982162475586,0.7352238893508911,0.14960642158985138,0.5940744280815125,-3.0449896839202224,0.10605896881595263,1.6178767938532994,177.64172335600907,163.93424036281178,155.2375,139.02916666666667,129.09128630705393,163.10165975103735,149.5,167.5,126.5,143.5,100.5,167.5
146,7.300000000000001,-0.010843276977539062,0.10384464263916016,1.523986577987671,0.033791303634643555,-1.6820228099822998,-0.04766225814819336,0.7354681491851807,0.14942264556884766,0.5939698219299316,-3.044574042118458,0.10640781533176058,1.6178956851981037,177.5899772209567,163.93166287015944,155.0625,138.975,128.96273291925465,163.0848861283644,149.5,167.5,126.5,143.5,100.5,167.5
147,7.3500000000000005,-0.011001825332641602,0.10431623458862305,1.5235941410064697,0.034121036529541016,-1.6824400424957275,-0.04779243469238281,0.7357308864593506,0.14926043152809143,0.5938599705696106,-3.0441253554429326,0.10678633152518087,1.6179516377448802,177.4512471655329,163.95691609977325,154.89583333333334,138.95,128.84536082474227,163.0721649484536,149.5,167.5,126.5,143.5,100.5,167.5
148,7.4,-0.011152029037475586,0.10483026504516602,1.523174524307251,0.03446841239929199,-1.682863473892212,-0.047936439514160156,0.7360137104988098,0.14910317957401276,0.5937351584434509,-3.0436407421851954,0.10716806350606269,1.6180346728200379,177.31292517006804,163.94557823129253,154.75991649269312,138.9248434237996,128.74380165289256,163.03719008264463,149.5,167.5,126.5,143.5,100.5,167.5
149,7.45,-0.01129913330078125,0.10536503791809082,1.5227558612823486,0.034809112548828125,-1.6832892894744873,-0.04808473587036133,0.73630690574646,0.14894774556159973,0.5935952663421631,-3.043140160015649,0.10754976438726493,1.6181273637079672,177.1640091116173,163.91571753986332,154.65271966527197,138.9142259414226,128.52598752598752,163.04989604989606,149.5,167.5,126.5,143.5,100.5,167.5
150,7.5,-0.01146697998046875,0.10584473609924316,1.5223286151885986,0.03517341613769531,-1.6836879253387451,-0.04822397232055664,0.7365753054618835,0.14877991378307343,0.593499481678009,-3.042684079360415,0.10790748712861659,1.6181831600240593,177.0568181818182,163.89772727272728,154.58909853249475,138.958071278826,128.3866943866944,163.0977130977131,149.5,167.5,126.5,143.5,100.5,167.5
151,7.550000000000001,-0.011652231216430664,0.10626554489135742,1.5219261646270752,0.03552699089050293,-1.6840646266937256,-0.048357248306274414,0.7368159890174866,0.14860177040100098,0.593430757522583,-3.042274051050861,0.10824713091409613,1.6182090114428223,176.97045454545454,163.91363636363636,154.4560669456067,138.92887029288704,128.24843423799584,163.15031315240083,149.5,167.5,126.5,143.5,100.5,167.5
152,7.6000000000000005,-0.011842489242553711,0.10670185089111328,1.5214617252349854,0.035939693450927734,-1.684434175491333,-0.04853224754333496,0.7370672821998596,0.14841996133327484,0.5933859348297119,-3.0418471176184343,0.10857413889621902,1.6182723897165392,176.73469387755102,163.89342403628117,154.35564853556485,138.99372384937237,128.15176715176716,163.12889812889813,149.5,167.5,126.5,143.5,100.5,167.5
153,7.65,-0.012056827545166016,0.10710310935974121,1.5210859775543213,0.03627276420593262,-1.684779405593872,-0.048697710037231445,0.7373017072677612,0.14822347462177277,0.5933151245117188,-3.0414481226748826,0.10887909692723656,1.6182975495368932,176.64253393665157,163.90723981900453,154.16216216216216,139.02494802494803,128.06832298136646,163.11387163561076,149.5,167.5,126.5,143.5,100.5,167.5
154,7.7,-0.012223243713378906,0.10754680633544922,1.5207440853118896,0.036557674407958984,-1.6851704120635986,-0.048830509185791016,0.7375494241714478,0.14805755019187927,0.5931951999664307,-3.041021276750544,0.10923184370665526,1.6183454155954995,176.525,163.95909090909092,154.0625,138.975,127.92355371900827,163.1095041322314,149.5,167.5,126.5,143.5,100.5,167.5
155,7.75,-0.012404680252075195,0.10801434516906738,1.5203278064727783,0.03691554069519043,-1.6855432987213135,-0.048979759216308594,0.7378134727478027,0.14788204431533813,0.5930998921394348,-3.040570975080178,0.10956252833455127,1.6183956375677977,176.40091116173122,163.9772209567198,153.89583333333334,138.95,127.84536082474227,163.0721649484536,149.5,167.5,126.5,143.5,100.5,167.5
156,7.800000000000001,-0.012565851211547852,0.10853862762451172,1.5199015140533447,0.03726911544799805,-1.6859362125396729,-0.049132347106933594,0.738102912902832,0.14771898090839386,0.5929700136184692,-3.040076354963251,0.10991049301977185,1.6184771820197075,176.31292517006804,163.94557823129253,153.75991649269312,138.9248434237996,127.72314049586777,163.08264462809916,149.5,167.5,126.5,143.5,100.5,167.5
